LEGACY_ID,COMPANY_NAME,STREET,POSTAL_CODE,CITY,COUNTRY,PHONE,EMAIL,VAT_ID,IBAN,PAYMENT_TERMS,CREDIT_LIMIT,CURRENCY
KD-10015,Textilbetrieb Schmidt e.K.,Bahnhofstraße 2,60311,Frankfurt am Main,DE,+49 030 8384070,info@textilbetrieb.net,DE638641453,DE77275507473284170838,NET14,38607.61,EUR
KD-10016,Maschinenbaubetrieb Weber KG,Gartenstraße 144,79098,Freiburg im Breisgau,DE,+49 030 2639893,info@maschinenbaubetrieb.com,DE213934118,DE34852016741244051092,NET30,153198.66,EUR
KD-10017,Klein Automotive e.K.,Marktplatz 32,80331,München,DE,+49 0231 3300734,info@klein.de,DE672610874,DE81741609489279877918,2/10NET30,91213.03,EUR
KD-10018,Becker Handel AG,Industriestraße 102,80331,München,DE,+49 0231 4684072,info@becker.de,DE934225020,DE42307294742572745251,2/10NET30,36745.06,EUR
KD-10019,Baubetrieb Koch KG,Hauptstraße 99,04109,Leipzig,DE,+49 0231 8389660,info@baubetrieb.com,DE442014228,DE12223740728396581505,NET60,105899.6,EUR
KD-10020,Schwarz AG,Industriestraße 72,30159,Hannover,DE,+49 0231 6486963,,DE15313436,DE4427388652,NET30,160919.57,EUR
KD-10021,Richter GmbH,Schillerstraße 29,70173,Stuttgart,DE,+49 089 1724871,,DE000000000,DE11 6556 7844,NET14,56069.58,EUR
KD-10022,Wagner & Meyer OHG,Gartenstraße 63,70173,Stuttgart,DE,+49 0221 9627430,info@wagner.de,DE291018544,DE11463088972075669243,2/10NET30,25724.86,EUR
KD-10023,Lang Bau OHG,Hauptstraße 19,90402,Nürnberg,DE,+49 030 3177994,info@lang.com,DE467976293,DE61366589263731500218,NET60,88994.44,EUR
KD-10024,Hoffmann & Kaiser OHG,Ringstraße 63,,Hamburg,DE,,,DE000000000,,NET30,193305.02,EUR
KD-10025,Wagner Logistik GmbH,Industriestraße 37,30159,Hannover,DE,+49 040 5432015,info@wagner.de,DE639838738,DE74980492281863202764,2/10NET30,119426.14,EUR
KD-10026,Müller & Meyer e.K.,Marktplatz 130,45127,Essen,DE,+49 089 1734641,info@müller.com,DE905886866,DE29308375899524346520,NET14,182428.09,EUR
KD-10027,Müller GmbH,Schillerstraße 126,76133,Karlsruhe,DE,+49 030 9916148,info@müller.de,DE212653207,DE81605488478884792003,NET60,5646.29,EUR
KD-10028,Schwarz e.K.,Gartenstraße 127,80331,München,DE,+49 0221 4871109,info@schwarz.net,DE968892055,DE40199925098929083570,2/10NET30,19964.28,EUR
KD-10029,Schmidt & Wagner OHG,Industriestraße 56,30159,Hannover,DE,+49 0231 5509258,info@schmidt.de,DE843981564,DE71508581761573124782,2/10NET30,61717.01,EUR
KD-10030,Meyer GmbH & Co. KG,Gartenstraße 69,76133,Karlsruhe,DE,+49 0231 2282857,info@meyer.com,DE434658118,DE12215231639316149070,2/10NET30,45918.26,EUR
KD-10031,Hoffmann Logistik e.K.,Hauptstraße 41,40213,Düsseldorf,DE,+49 0231 7611574,info@hoffmann.com,DE000000000,DE39251233268315776877,NET30,190242.12,EUR
KD-10032,Kaiser Logistik GmbH & Co. KG,Goethestraße 96,01067,Dresden,DE,+49 030 5862590,info@kaiser.de,DE000000000,DE25554021838898920728,NET30,81615.38,EUR
KD-10033,Hoffmann KG,Ringstraße 110,53111,Bonn,DE,,,DE48335695,DE4145665410,NET30,163332.64,EUR
KD-10034,Müller & Meyer e.K.,Gartenstraße 107,45127,Essen,DE,+49 089 3864924,info@müller.net,DE908171121,DE16285988906524222670,NET60,59940.48,EUR
KD-10035,Automotivebetrieb Schulz KG,Gartenstraße 86,28195,Bremen,DE,+49 0231 4691411,info@automotivebetrieb.net,DE279671866,DE36963295181694311368,2/10NET30,88347.49,EUR
KD-10036,Wagner Handel AG,Schillerstraße 97,55116,Mainz,DE,+49 0621 9794082,info@wagner.com,DE495464842,DE62446761659676184959,NET60,70949.6,EUR
KD-10037,Lang & Schulz AG,Hauptstraße 109,20095,Hamburg,DE,+49 030 3134850,info@lang.com,DE512918974,DE65636544948068621573,2/10NET30,193814.85,EUR
KD-10038,Baubetrieb Müller OHG,Industriestraße 142,79098,Freiburg im Breisgau,DE,+49 040 8672641,info@baubetrieb.net,DE217087255,DE76400379831663050136,NET30,5266.38,EUR
KD-10039,Becker IT AG,Goethestraße 58,60311,Frankfurt am Main,DE,+49 0221 7510934,info@becker.net,DE920171304,DE48250501941427112113,IMMEDIATE,5224.64,EUR
KD-10040,Meyer & Klein KG,Schillerstraße 128,55116,Mainz,DE,+49 030 1365531,info@meyer.com,DE365276922,DE93139300099420773989,2/10NET30,20812.95,EUR
KD-10041,Richter GmbH & Co. KG,Gartenstraße 52,04109,Leipzig,DE,+49 040 4442996,info@richter.net,DE489038017,DE47631982981850745597,NET60,154342.14,EUR
KD-10042,Becker Automotive KG,Marktplatz 14,40213,Düsseldorf,DE,+49 030 3455900,info@becker.com,DE755088072,DE72351407534850335889,NET14,9607.6,EUR
KD-10043,Fischer e.K.,Bahnhofstraße 135,97070,Würzburg,DE,+49 0711 4199138,info@fischer.de,DE864541482,DE20521712054147024619,2/10NET30,11219.27,EUR
KD-10044,Klein Automotive e.K.,Ringstraße 139,45127,Essen,DE,+49 0231 4283566,,DE26603844,DE5857865963,2/10NET30,42640.11,EUR
KD-10045,Wagner OHG,Goethestraße 86,44135,Dortmund,DE,+49 0711 7089698,info@wagner.net,DE962577693,DE18183220222103875130,IMMEDIATE,13499.18,EUR
KD-10046,Fischer e.K.,Schillerstraße 84,68161,Mannheim,DE,+49 069 3538648,info@fischer.de,,DE4267705312,NET60,94852.33,EUR
KD-10047,Hoffmann & Schwarz GmbH & Co. KG,Industriestraße 54,97070,Würzburg,DE,,,DE000000000,,NET30,87106.75,EUR
KD-10048,Logistikbetrieb Koch GmbH & Co. KG,Goethestraße 67,01067,Dresden,DE,+49 069 7257415,info@logistikbetrieb.com,DE903134235,DE47822849158906481521,NET14,90682.56,EUR
KD-10049,Becker & Becker KG,Industriestraße 2,70173,Stuttgart,DE,+49 0231 1621145,info@becker.de,DE364085973,DE93780919433260478873,2/10NET30,177150.88,EUR
KD-10050,Klein & Schäfer KG,Hauptstraße 28,04109,Leipzig,DE,+49 0231 5361207,info@klein.de,DE988977739,DE75882749425617590589,IMMEDIATE,143392.69,EUR
KD-10051,Maschinenbaubetrieb Weber KG,Goethestraße 20,,,DE,,,DE97462018,,NET14,11135.98,EUR
KD-10052,Braun GmbH & Co. KG,Marktplatz 73,79098,Freiburg im Breisgau,DE,+49 0621 5549425,info@braun.de,DE265949120,DE93957895483293500360,NET60,86479.85,EUR
KD-10053,Meyer GmbH & Co. KG,Bahnhofstraße 109,20095,Hamburg,DE,+49 030 8284067,info@meyer.de,DE490607273,DE61965004016141941667,NET30,164971.87,EUR
KD-10054,Kaiser IT KG,Goethestraße 42,45127,Essen,DE,+49 089 6837547,info@kaiser.de,DE525973940,DE74219495539277379332,IMMEDIATE,38498.13,EUR
KD-10055,Weber Textil AG,Schillerstraße 104,80331,München,DE,+49 040 3688987,info@weber.com,DE618334357,DE91522149619819176522,IMMEDIATE,170038.52,EUR
KD-10056,Koch & Wagner GmbH & Co. KG,Gartenstraße 141,79098,Freiburg im Breisgau,DE,+49 040 7540371,info@koch.com,365277468,DE95854764353887306574,NET60,131560.43,EUR
KD-10057,Becker Bau e.K.,Gartenstraße 103,30159,Hannover,DE,+49 0231 4012668,info@becker.com,DE125099022,DE40104708487397360655,NET30,18088.53,EUR
KD-10058,Kaiser & Schmidt GmbH,Bahnhofstraße 126,44135,Dortmund,DE,+49 040 4249869,,887568396,DE1677635542,NET60,191544.66,EUR
KD-10059,Becker Chemie OHG,Schillerstraße 82,70173,Stuttgart,DE,+49 0221 5410187,info@becker.com,DE395271046,DE74712573525911605612,NET60,12182.45,EUR
KD-10060,Kaiser IT e.K.,Marktplatz 96,70173,Stuttgart,DE,+49 040 5228388,info@kaiser.com,942747012,DE56812321989798547916,NET60,78269.26,EUR
KD-10061,Chemiebetrieb Fischer GmbH,Hauptstraße 57,44135,Dortmund,DE,+49 0711 1030047,info@chemiebetrieb.net,DE151852558,DE91497799066384396482,NET14,61739.47,EUR
KD-10062,Richter & Schwarz GmbH,Ringstraße 137,90402,Nürnberg,DE,+49 069 2784469,info@richter.com,DE148945127,DE82129916491233616309,NET14,85581.5,EUR
KD-10063,Chemiebetrieb Fischer OHG,Goethestraße 3,,,DE,,,DE42693863,DE18 3370 5419,NET30,130764.74,EUR
KD-10064,Schäfer & Klein AG,Schillerstraße 37,,Mainz,DE,,,,DE3341899367,2/10NET30,43906.06,EUR
KD-10065,Richter GmbH & Co. KG,Schillerstraße 27,,Würzburg,DE,,,877717724,DE5868605830,NET60,50297.85,EUR
KD-10066,Weber e.K.,Hauptstraße 44,20095,Hamburg,DE,+49 0221 2433128,info@weber.net,DE568208042,DE47802287059469210523,NET60,181416.99,EUR
KD-10067,Koch Automotive GmbH & Co. KG,Marktplatz 60,40213,Düsseldorf,DE,+49 030 1444877,info@koch.net,DE777204713,DE70992864957598598455,IMMEDIATE,177527.95,EUR
KD-10068,ITbetrieb Fischer e.K.,Bahnhofstraße 11,40213,Düsseldorf,DE,+49 030 1698761,info@itbetrieb.de,DE273743507,DE99562868195197935726,NET30,148673.13,EUR
KD-10069,Handelbetrieb Schäfer e.K.,Industriestraße 34,80331,München,DE,+49 069 9004667,info@handelbetrieb.net,DE220226578,DE90145446963723751257,NET30,159433.62,EUR
KD-10070,Maschinenbaubetrieb Weber KG,Hauptstraße 106,40213,Düsseldorf,DE,+49 0231 5825945,info@maschinenbaubetrieb.net,DE151977728,DE87593953879204822663,NET30,90107.67,EUR
KD-10071,Schäfer & Lang OHG,Hauptstraße 2,50667,Köln,DE,+49 0221 5837452,info@schäfer.net,DE716908606,DE10485352096026706276,NET60,100710.48,EUR
KD-10072,Koch Chemie OHG,Ringstraße 92,79098,Freiburg im Breisgau,DE,+49 0231 2754190,info@koch.de,DE38818470,DE91768827881712067050,NET30,83247.76,EUR
KD-10073,Hoffmann & Richter KG,Hauptstraße 90,45127,Essen,DE,+49 0231 3128701,info@hoffmann.de,DE685121614,DE90772686076029856722,IMMEDIATE,68698.74,EUR
KD-10074,Chemiebetrieb Klein AG,Schillerstraße 69,60311,Frankfurt am Main,DE,+49 0221 9517849,info@chemiebetrieb.net,DE721878805,DE69410075785836378179,NET60,152173.32,EUR
KD-10075,Fischer Automotive e.K.,Industriestraße 51,97070,Würzburg,DE,+49 040 3761555,info@fischer.net,DE353631833,DE43540334905105100546,2/10NET30,34437.22,EUR
KD-10076,Meyer & Meyer KG,Marktplatz 57,60311,Frankfurt am Main,DE,+49 030 7694463,info@meyer.de,DE401511437,DE69377084399097078987,IMMEDIATE,196271.85,EUR
KD-10077,Hoffmann Logistik e.K.,Industriestraße 117,30159,Hannover,DE,+49 0221 4045147,info@hoffmann.net,DE561739444,DE39870380278074674854,2/10NET30,66037.78,EUR
KD-10078,Richter & Becker e.K.,Hauptstraße 65,50667,Köln,DE,+49 0231 2784760,info@richter.com,DE588761347,DE11126383598105979166,IMMEDIATE,47486.89,EUR
KD-10079,Handelbetrieb Schwarz OHG,Schillerstraße 48,40213,Düsseldorf,DE,+49 0621 8665670,info@handelbetrieb.com,DE649961072,DE76121617718855432142,2/10NET30,105189.46,EUR
KD-10080,ITbetrieb Schäfer KG,Marktplatz 135,,,DE,,,DE000000000,,NET14,198874.9,EUR
KD-10081,Klein AG,Goethestraße 141,45127,Essen,DE,+49 0621 8853429,info@klein.net,DE603755235,DE55961945285139765274,NET14,157070.1,EUR
KD-10082,ITbetrieb Schäfer e.K.,Ringstraße 123,79098,Freiburg im Breisgau,DE,+49 0221 6063703,info@itbetrieb.com,DE828875941,DE45349496963068323042,2/10NET30,88556.19,EUR
KD-10083,Schäfer GmbH & Co. KG,Goethestraße 65,80331,München,DE,+49 0221 2207952,info@schäfer.de,DE448644916,DE94288443983501626662,IMMEDIATE,24794.83,EUR
KD-10084,Becker & Koch KG,Gartenstraße 55,60311,Frankfurt am Main,DE,+49 069 4311327,info@becker.net,DE673938333,DE80325368699978224563,IMMEDIATE,20329.93,EUR
KD-10085,Handelbetrieb Weber KG,Ringstraße 120,01067,Dresden,DE,+49 030 3690350,info@handelbetrieb.de,629437096,DE73750111253110427650,IMMEDIATE,102033.27,EUR
KD-10086,Klein GmbH & Co. KG,Gartenstraße 125,30159,Hannover,DE,+49 0711 2576651,info@klein.net,DE794197228,DE15138291679678238138,NET14,11609.91,EUR
KD-10087,Fischer Handel e.K.,Goethestraße 75,90402,Nürnberg,DE,+49 069 1884499,info@fischer.com,DE694987760,DE53382830696515386790,NET60,166408.14,EUR
KD-10088,Wolf IT OHG,Industriestraße 11,45127,Essen,DE,+49 069 3140281,info@wolf.net,DE950351060,DE50258280582421188653,2/10NET30,145921.92,EUR
KD-10089,Hoffmann & Kaiser OHG,Industriestraße 47,45127,Essen,DE,+49 0231 3917630,info@hoffmann.net,DE610084391,DE15916964001356496077,NET30,87206.43,EUR
KD-10090,Müller Logistik KG,Hauptstraße 31,50667,Köln,DE,+49 030 9351112,info@müller.net,DE136765800,DE82527452715382550507,2/10NET30,117187.66,EUR
KD-10091,Maschinenbaubetrieb Klein e.K.,Hauptstraße 110,45127,Essen,DE,+49 0221 3546181,info@maschinenbaubetrieb.com,DE808022304,DE92308434731438272209,NET30,6818.86,EUR
KD-10092,Handelbetrieb Weber KG,Goethestraße 143,50667,Köln,DE,+49 089 2414145,info@handelbetrieb.net,DE887651280,DE56351537884963409421,2/10NET30,94813.05,EUR
KD-10093,Schmidt GmbH,Hauptstraße 81,28195,Bremen,DE,+49 089 9159237,info@schmidt.net,DE763812684,DE49206945456965489208,NET60,190008.19,EUR
KD-10094,Lang Logistik GmbH,Bahnhofstraße 80,01067,Dresden,DE,+49 0711 1260056,info@lang.de,,DE45617728086728994784,IMMEDIATE,88569.56,EUR
KD-10095,Kaiser & Kaiser OHG,Bahnhofstraße 147,04109,Leipzig,DE,+49 030 5840586,info@kaiser.de,DE101809256,DE64531544736424735064,NET14,58400.49,EUR
KD-10096,Handelbetrieb Lang OHG,Hauptstraße 99,55116,Mainz,DE,+49 0221 5273737,info@handelbetrieb.com,DE905504091,DE60414112739837155813,2/10NET30,110409.57,EUR
KD-10097,Schäfer Automotive GmbH & Co. KG,Bahnhofstraße 75,55116,Mainz,DE,+49 0221 2546663,info@schäfer.de,DE611730563,DE34779368103531147226,NET60,117683.87,EUR
KD-10098,Kaiser AG,Ringstraße 72,44135,Dortmund,DE,+49 0711 1509335,info@kaiser.de,DE213943629,DE20598844798012575473,IMMEDIATE,123391.65,EUR
KD-10099,Schmidt & Wagner OHG,Hauptstraße 87,50667,Köln,DE,+49 089 5261337,info@schmidt.net,DE557360319,DE85230335829360152049,NET14,198949.8,EUR
KD-10100,Hoffmann Maschinenbau GmbH,Ringstraße 145,45127,Essen,DE,+49 040 5314994,info@hoffmann.net,DE168919011,DE25902713528043068068,NET14,129923.43,EUR
KD-10101,Kaiser Textil AG,Gartenstraße 15,76133,Karlsruhe,DE,+49 030 5326898,info@kaiser.de,DE338072039,DE80331020902511875401,NET30,33235.53,EUR
KD-10102,Wagner e.K.,Bahnhofstraße 4,10115,Berlin,DE,+49 0231 5000652,info@wagner.de,DE518810973,DE58266622676905507678,2/10NET30,144859.21,EUR
KD-10103,Schmidt Automotive GmbH,Gartenstraße 30,40213,Düsseldorf,DE,+49 0711 4923886,info@schmidt.com,,DE67129173743698831364,NET60,32839.74,EUR
KD-10104,Schmidt & Koch OHG,Goethestraße 126,04109,Leipzig,DE,+49 0711 3815180,info@schmidt.com,DE65268400,DE83308958835404145583,NET30,67023.04,EUR
KD-10105,Weber & Fischer e.K.,Schillerstraße 25,79098,Freiburg im Breisgau,DE,+49 069 5004302,info@weber.com,DE227978332,DE56446004094242059727,2/10NET30,61438.58,EUR
KD-10106,Schmidt e.K.,Marktplatz 11,70173,Stuttgart,DE,+49 089 7041462,info@schmidt.com,DE648450606,DE77288097322902705915,2/10NET30,47561.66,EUR
KD-10107,Koch & Fischer OHG,Schillerstraße 150,53111,Bonn,DE,+49 0221 3299163,info@koch.de,DE185111977,DE45217334498433941438,NET60,44446.71,EUR
KD-10108,Schwarz Maschinenbau OHG,Bahnhofstraße 145,80331,München,DE,+49 069 5166453,info@schwarz.de,DE629373090,DE71221238865361303670,NET60,12150.81,EUR
KD-10109,Müller OHG,Gartenstraße 115,44135,Dortmund,DE,+49 069 2806714,info@müller.de,DE976748340,DE83530810429023391709,IMMEDIATE,10000.16,EUR
KD-10110,Fischer & Müller GmbH,Schillerstraße 114,55116,Mainz,DE,+49 0231 9772995,info@fischer.net,434913932,DE12126106916132850703,NET30,73386.45,EUR
KD-10111,ITbetrieb Koch GmbH,Bahnhofstraße 147,50667,Köln,DE,+49 0221 4808984,info@itbetrieb.de,DE400242741,DE61247693191524146568,2/10NET30,150582.81,EUR
KD-10112,Müller OHG,Marktplatz 144,70173,Stuttgart,DE,+49 0621 6379273,info@müller.com,DE934197686,DE40587552216749022289,NET30,68351.55,EUR
KD-10113,Schäfer e.K.,Bahnhofstraße 108,60311,Frankfurt am Main,DE,+49 030 4782900,info@schäfer.net,DE174371887,DE74535335532859894932,2/10NET30,156433.02,EUR
KD-10114,Schmidt Maschinenbau e.K.,Hauptstraße 112,01067,Dresden,DE,+49 040 9729269,info@schmidt.com,DE774577592,DE22827801589743602732,NET14,190418.84,EUR
KD-10115,Weber & Meyer e.K.,Industriestraße 131,30159,Hannover,DE,+49 089 8381591,info@weber.net,DE651665857,DE85460255855657780611,NET14,177612.14,EUR
KD-10116,Meyer e.K.,Goethestraße 123,90402,Nürnberg,DE,+49 0711 8732340,info@meyer.net,DE587630578,DE80918664522660655344,2/10NET30,164669.84,EUR
KD-10117,Automotivebetrieb Becker AG,Goethestraße 56,10115,Berlin,DE,+49 0231 5528638,info@automotivebetrieb.com,DE478658174,DE81317827976319495099,NET60,16096.97,EUR
KD-10118,Koch Handel OHG,Ringstraße 36,10115,Berlin,DE,,,DE000000000,DE38 3531 7828,NET14,125177.84,EUR
KD-10119,Schwarz & Weber KG,Gartenstraße 118,28195,Bremen,DE,+49 040 7367999,info@schwarz.net,540682785,DE83 3451 7847,NET60,145996.86,EUR
KD-10120,ITbetrieb Koch GmbH,Marktplatz 148,30159,Hannover,DE,+49 069 3432538,info@itbetrieb.net,DE636387520,DE33610932097202065528,2/10NET30,118408.56,EUR
KD-10121,Wolf & Wolf KG,Marktplatz 133,80331,München,DE,+49 069 6241514,info@wolf.com,DE111480744,DE82134326495498729481,IMMEDIATE,146787.5,EUR
KD-10122,Kaiser Chemie GmbH,Bahnhofstraße 49,,,DE,,,DE80497627,,2/10NET30,99909.05,EUR
KD-10123,Wolf Handel AG,Marktplatz 41,01067,Dresden,DE,+49 069 6760542,info@wolf.net,DE986942220,DE24516920523201572796,IMMEDIATE,61535.64,EUR
KD-10124,Handelbetrieb Weber KG,Hauptstraße 78,76133,Karlsruhe,DE,+49 030 6146250,info@handelbetrieb.de,DE479228680,DE62864862509771670449,2/10NET30,169220.8,EUR
KD-10125,Automotivebetrieb Müller AG,Industriestraße 8,53111,Bonn,DE,+49 089 3630178,info@automotivebetrieb.de,DE794508426,DE87813351986147720963,NET30,19845.36,EUR
KD-10126,Lang GmbH,Industriestraße 90,76133,Karlsruhe,DE,+49 069 2668590,info@lang.de,DE254540594,DE31419791086814719153,NET14,92718.49,EUR
KD-10127,Müller GmbH & Co. KG,Gartenstraße 78,45127,Essen,DE,+49 0711 1103403,info@müller.de,DE367715446,DE85399170631188887343,2/10NET30,122497.74,EUR
KD-10128,Hoffmann & Becker e.K.,Marktplatz 48,79098,Freiburg im Breisgau,DE,+49 089 7012887,info@hoffmann.de,DE864261711,DE21750136694728944734,NET30,194451.75,EUR
KD-10129,Kaiser Chemie GmbH,Schillerstraße 120,30159,Hannover,DE,+49 0221 7498882,info@kaiser.net,DE532928484,DE54974135635824490284,NET60,72173.41,EUR
KD-10130,Schmidt & Schulz KG,Schillerstraße 104,90402,Nürnberg,DE,+49 0711 6920992,info@schmidt.de,DE46194181,DE40844875867198963585,2/10NET30,127722.03,EUR
KD-10131,Wagner & Meyer OHG,Schillerstraße 33,53111,Bonn,DE,+49 0621 9559633,info@wagner.de,DE240600966,DE78449985889546868369,NET30,137181.69,EUR
KD-10132,Braun & Schulz GmbH,Ringstraße 129,80331,München,DE,+49 040 2142206,info@braun.net,DE192381485,DE34337628726289530149,NET60,42600.75,EUR
KD-10133,ITbetrieb Hoffmann AG,Hauptstraße 119,30159,Hannover,DE,+49 0711 7921787,info@itbetrieb.com,DE598714886,DE13942934322187648798,NET14,199988.21,EUR
KD-10134,Schäfer KG,Goethestraße 40,45127,Essen,DE,+49 0621 4323359,info@schäfer.de,DE335355479,DE87154293562738011799,2/10NET30,148973.08,EUR
KD-10135,Automotivebetrieb Meyer OHG,Schillerstraße 29,55116,Mainz,DE,+49 030 1794347,info@automotivebetrieb.com,DE567005028,DE93999438241004173691,NET30,159330.33,EUR
KD-10136,Baubetrieb Schäfer e.K.,Gartenstraße 131,40213,Düsseldorf,DE,+49 0231 6709278,info@baubetrieb.com,DE337082902,DE54477374203264841976,NET30,136934.66,EUR
KD-10137,Weber & Fischer e.K.,Marktplatz 24,40213,Düsseldorf,DE,+49 0711 6825536,info@weber.de,DE700357845,DE17450573402117880575,NET14,129118.55,EUR
KD-10138,Schmidt & Koch OHG,Ringstraße 31,60311,Frankfurt am Main,DE,+49 089 5039467,info@schmidt.net,DE788171411,DE27571723018293068797,IMMEDIATE,87803.87,EUR
KD-10139,Fischer AG,Goethestraße 115,,,DE,,,622492085,,NET30,36457.32,EUR
KD-10140,Schäfer & Lang OHG,Gartenstraße 112,01067,Dresden,DE,+49 069 2825402,info@schäfer.net,DE905784842,DE52751660449950590660,2/10NET30,42012.68,EUR
KD-10141,Wolf Chemie GmbH,Marktplatz 38,55116,Mainz,DE,+49 030 1424346,info@wolf.de,DE800728003,DE20437439543804926899,NET60,76738.12,EUR
KD-10142,Koch IT e.K.,Schillerstraße 15,76133,Karlsruhe,DE,+49 0711 5253862,info@koch.net,DE482517093,DE27529705596283779987,NET30,25911.03,EUR
KD-10143,Textilbetrieb Schmidt GmbH & Co. KG,Bahnhofstraße 114,45127,Essen,DE,+49 0221 3745391,info@textilbetrieb.net,DE747063793,DE28879960823690771911,2/10NET30,22483.93,EUR
KD-10144,Lang GmbH,Marktplatz 87,20095,Hamburg,DE,+49 030 9633923,info@lang.de,DE995004612,DE46786242052827269478,NET30,90545.22,EUR
KD-10145,ITbetrieb Koch GmbH,Bahnhofstraße 103,70173,Stuttgart,DE,+49 0231 8186940,info@itbetrieb.com,DE709364763,DE79362282733013642976,IMMEDIATE,125874.5,EUR
KD-10146,Baubetrieb Wolf KG,Marktplatz 93,20095,Hamburg,DE,+49 089 7241290,info@baubetrieb.de,468732380,DE98353462938472024542,IMMEDIATE,51846.48,EUR
KD-10147,Kaiser & Schulz AG,Goethestraße 126,01067,Dresden,DE,+49 0221 9904942,info@kaiser.de,DE905141403,DE93250688658891233141,NET14,113034.14,EUR
KD-10148,Braun GmbH & Co. KG,Gartenstraße 24,04109,Leipzig,DE,+49 089 4215276,info@braun.com,640232357,DE97941001175733454282,NET14,77806.02,EUR
KD-10149,Weber & Fischer e.K.,Industriestraße 91,97070,Würzburg,DE,+49 040 4382274,info@weber.com,DE328850572,DE27717006532288189520,NET14,76561.57,EUR
KD-10150,Müller Handel AG,Hauptstraße 63,68161,Mannheim,DE,+49 0711 2895311,info@müller.com,DE483282666,DE22756308627888245403,NET60,74099.07,EUR
KD-10151,Handelbetrieb Müller GmbH,Hauptstraße 7,01067,Dresden,DE,+49 069 8450577,info@handelbetrieb.net,DE298930857,DE78301655179054795941,NET60,198924.55,EUR
KD-10152,Schwarz GmbH,Ringstraße 136,79098,Freiburg im Breisgau,DE,+49 040 7055441,info@schwarz.de,DE829620718,DE60905260648924694895,NET14,65695.11,EUR
KD-10153,Logistikbetrieb Schmidt KG,Hauptstraße 64,60311,Frankfurt am Main,DE,+49 0711 4802002,info@logistikbetrieb.com,DE479763495,DE84521926545320685891,2/10NET30,175874.38,EUR
KD-10154,Logistikbetrieb Schmidt KG,Marktplatz 147,97070,Würzburg,DE,+49 040 4342759,info@logistikbetrieb.de,DE381392965,DE99578934135110114276,NET30,75767.54,EUR
KD-10155,Becker Handel KG,Gartenstraße 129,30159,Hannover,DE,+49 0711 6422395,info@becker.net,DE782051061,DE17429105707038562739,NET60,179369.06,EUR
KD-10156,Schäfer AG,Goethestraße 79,04109,Leipzig,DE,+49 040 3412813,info@schäfer.net,DE534845591,DE31697964528612175610,NET60,146697.71,EUR
KD-10157,Wolf OHG,Bahnhofstraße 69,55116,Mainz,DE,+49 069 1387083,info@wolf.com,DE479556719,DE32727967747375946877,NET14,142357.05,EUR
