MATERIAL_NUMBER,DESCRIPTION,UNIT,MATERIAL_GROUP,LIST_PRICE,CURRENCY,WEIGHT_KG,ACTIVE
MAT-30037,Pumpe 16-303,M,VERP,4293.32,EUR,46.489,Y
MAT-30038,Zylinder 83-581,BOX,FERT,3325.95,EUR,52.847,Y
MAT-30039,Kabel 85-949,,VERP,1874.15,EUR,,Y
MAT-30040,Platte 39-312,SET,DIENSTL,3884.5,EUR,98.222,Y
MAT-30041,Pumpe 85-682,L,ROH,827.55,EUR,43.656,Y
MAT-30042,Profil 55-203,BOX,ROH,985.93,EUR,132.468,Y
MAT-30043,Gehäuse 30-489,,VERP,908.16,EUR,,Y
MAT-30044,Lager 75-849,BOX,HILF,49.26,EUR,130.692,Y
MAT-30045,Gehäuse 81-914,,,2921.85,EUR,,Y
MAT-30046,Feder 95-996,ST,HILF,3830.31,EUR,107.157,Y
MAT-30047,Flansch 75-573,KG,HALB,2840.0,EUR,120.513,Y
MAT-30048,Kabel 98-365,KG,HILF,2828.34,EUR,8.133,Y
MAT-30049,Buchse 53-834,PCE,FERT,1044.76,EUR,123.289,Y
MAT-30050,Rohr 35-699,L,DIENSTL,2673.99,EUR,,Y
MAT-30051,Zylinder 45-236,ST,ROH,4039.63,EUR,83.903,Y
MAT-30052,Lager 68-275,M,VERP,3449.75,EUR,36.775,Y
MAT-30053,Rohr 62-465,KG,DIENSTL,983.69,EUR,12.757,Y
MAT-30054,Lager 25-616,BOX,VERP,3459.26,EUR,88.812,Y
MAT-30055,Dichtung 70-630,KG,HILF,761.77,EUR,11.003,Y
MAT-30056,Ventil 61-202,M,DIENSTL,3108.31,EUR,58.793,Y
MAT-30057,Gehäuse 30-489,L,FERT,2290.32,EUR,106.841,Y
MAT-30058,Gehäuse 89-405,SET,DIENSTL,18.14,EUR,102.977,Y
MAT-30059,Platte 61-910,KG,FERT,3604.85,EUR,23.469,Y
MAT-30060,Platte 33-392,BOX,ROH,2773.93,EUR,120.985,Y
MAT-30061,Dichtung 56-633,PCE,FERT,2876.44,EUR,71.542,Y
MAT-30062,Gehäuse 88-723,ST,FERT,3600.17,EUR,10.088,Y
MAT-30063,Platte 78-112,BOX,VERP,721.43,EUR,103.497,
MAT-30064,Flansch 36-160,M,HALB,987.12,EUR,65.499,Y
MAT-30065,Profil 23-247,ST,HALB,1953.44,EUR,28.948,Y
MAT-30066,Feder 59-532,BOX,HALB,2686.66,EUR,146.519,
MAT-30067,Buchse 53-834,SET,HALB,505.96,EUR,24.313,Y
MAT-30068,Kabel 55-788,ST,VERP,1464.16,EUR,61.358,Y
MAT-30069,Pumpe 13-789,KG,HALB,3571.74,EUR,93.909,Y
MAT-30070,Pumpe 77-737,,,1978.39,EUR,,Y
MAT-30071,Kabel 11-562,,,2850.17,EUR,,Y
MAT-30072,Kabel 55-788,KG,DIENSTL,1725.23,EUR,103.604,
MAT-30073,Buchse 99-627,M,VERP,3175.21,EUR,28.366,Y
MAT-30074,Platte 62-441,PCE,HALB,1423.9,EUR,56.496,Y
MAT-30075,Zylinder 37-911,ST,HILF,3096.2,EUR,47.748,Y
MAT-30076,Dichtung 88-444,L,FERT,3863.13,EUR,148.315,Y
MAT-30077,Feder 15-252,L,FERT,2639.56,EUR,,Y
MAT-30078,Zylinder 10-189,L,FERT,3944.37,EUR,90.926,Y
MAT-30079,Zylinder 42-183,ST,ROH,2222.61,EUR,108.273,Y
MAT-30080,Platte 43-384,PCE,HILF,4490.56,EUR,64.019,Y
MAT-30081,Buchse 92-876,M,VERP,3075.58,EUR,104.608,Y
MAT-30082,Schraube 28-930,,,4447.29,EUR,,Y
MAT-30083,Profil 26-460,KG,FERT,3667.28,EUR,4.999,Y
MAT-30084,Ventil 20-971,KG,VERP,2703.5,EUR,131.412,Y
MAT-30085,Dichtung 53-960,KG,DIENSTL,3666.22,EUR,18.022,Y
MAT-30086,Sensor 43-444,KG,VERP,3859.09,EUR,33.583,Y
MAT-30087,Schraube 38-264,BOX,ROH,2838.86,EUR,79.948,Y
MAT-30088,Pumpe 37-200,M,DIENSTL,272.49,EUR,57.537,Y
MAT-30089,Pumpe 77-300,SET,ROH,2493.74,EUR,60.778,Y
MAT-30090,Rohr 70-580,M,ROH,2493.38,EUR,114.284,Y
MAT-30091,Rohr 53-197,KG,VERP,2620.51,EUR,145.023,Y
MAT-30092,Sensor 32-421,L,ROH,4305.48,EUR,68.293,Y
MAT-30093,Buchse 97-812,SET,HALB,2444.79,EUR,129.386,Y
MAT-30094,Lager 34-719,SET,HALB,3191.97,EUR,87.988,Y
MAT-30095,Flansch 80-172,ST,HALB,3010.95,EUR,102.639,Y
MAT-30096,Flansch 96-694,,,222.06,EUR,,Y
MAT-30097,Dichtung 50-682,M,DIENSTL,2652.98,EUR,123.653,
MAT-30098,Flansch 32-952,ST,FERT,2634.84,EUR,110.953,Y
MAT-30099,Platte 59-514,,,2684.73,EUR,,Y
MAT-30100,Gehäuse 24-949,KG,VERP,1639.34,EUR,99.277,Y
MAT-30101,Schraube 64-738,M,DIENSTL,1644.95,EUR,20.018,Y
MAT-30102,Lager 42-656,KG,ROH,2648.6,EUR,120.132,Y
MAT-30103,Sensor 82-688,L,HILF,3375.29,EUR,109.12,Y
MAT-30104,Pumpe 77-300,ST,VERP,2650.6,EUR,64.409,Y
MAT-30105,Schraube 38-786,,,4445.07,EUR,,Y
MAT-30106,Schraube 87-285,BOX,FERT,3395.32,EUR,50.829,Y
MAT-30107,Buchse 49-175,KG,DIENSTL,696.56,EUR,45.809,Y
MAT-30108,Zylinder 23-823,PCE,ROH,2240.18,EUR,148.476,Y
MAT-30109,Profil 30-938,,,2281.27,EUR,,Y
MAT-30110,Ventil 76-860,L,HALB,1030.54,EUR,31.429,Y
MAT-30111,Pumpe 21-345,,,1002.65,EUR,,Y
MAT-30112,Flansch 62-189,M,FERT,1117.13,EUR,99.218,Y
MAT-30113,Schraube 61-526,KG,ROH,317.52,EUR,81.457,Y
MAT-30114,Zylinder 90-202,M,HALB,446.84,EUR,138.739,Y
MAT-30115,Pumpe 47-164,L,HALB,636.27,EUR,72.557,Y
MAT-30116,Platte 13-814,SET,ROH,3552.58,EUR,118.564,Y
MAT-30117,Ventil 18-739,M,FERT,767.88,EUR,124.484,Y
MAT-30118,Feder 45-265,ST,HALB,412.05,EUR,108.919,Y
MAT-30119,Platte 29-774,ST,VERP,414.27,EUR,33.157,Y
MAT-30120,Feder 55-186,M,DIENSTL,3537.37,EUR,129.768,Y
MAT-30121,Platte 82-645,L,DIENSTL,1518.58,EUR,56.061,Y
MAT-30122,Kabel 38-734,PCE,ROH,1884.8,EUR,99.627,Y
MAT-30123,Sensor 47-382,L,FERT,2328.51,EUR,37.352,Y
MAT-30124,Sensor 79-484,BOX,DIENSTL,143.77,EUR,38.527,Y
MAT-30125,Platte 37-846,M,VERP,1617.9,EUR,113.209,Y
MAT-30126,Flansch 39-903,M,DIENSTL,1649.34,EUR,2.524,Y
MAT-30127,Schraube 38-786,SET,FERT,3619.95,EUR,34.403,Y
MAT-30128,Ventil 33-599,L,ROH,3204.41,EUR,134.308,Y
MAT-30129,Feder 66-395,SET,HALB,3207.69,EUR,52.84,Y
